case_id,file_name,rows,common_signal_columns,missing_cells_in_common_cols,missing_ratio_in_common_cols,rows_with_missing,missing_block_count,max_missing_block_len,leading_missing_len,trailing_missing_len,edge_removed_rows,edge_removed_ratio,rows_after_edge_drop,rows_after_edge_drop_ratio,internal_short_gap_rows,internal_long_gap_rows_dropped,continuous_segment_count,rows_after_long_gap_drop,windows_total,windows_with_missing,windows_with_heavy_missing,worst_window_missing_ratio,long_gap_column_count
1,工况1.csv,3352,20,1340,0.019988066825775655,154,3,102,52,102,154,0.045942720763723154,3198,0.9540572792362768,0,0,1,3198,24,0,0,0.0,20
2,工况2.csv,3752,20,1590,0.02118869936034115,202,3,102,100,102,202,0.05383795309168443,3550,0.9461620469083155,0,0,1,3550,27,0,0,0.0,20
3,工况3.csv,3850,20,1850,0.024025974025974027,200,3,100,100,100,200,0.05194805194805195,3650,0.948051948051948,0,0,1,3650,28,0,0,0.0,20
4,工况4.csv,7702,20,1440,0.009348221241236042,152,3,52,100,52,152,0.019735133731498312,7550,0.9802648662685017,0,0,1,7550,59,0,0,0.0,20
5,工况5.csv,5900,20,2450,0.02076271186440678,202,2,102,102,100,202,0.03423728813559322,5698,0.9657627118644068,0,0,1,5698,44,0,0,0.0,20
6,工况6.csv,5550,20,1600,0.014414414414414415,152,4,100,52,100,152,0.02738738738738739,5398,0.9726126126126126,0,0,1,5398,42,0,0,0.0,20
7,工况7.csv,4352,20,1590,0.01826746323529412,200,3,100,100,100,200,0.04595588235294118,4152,0.9540441176470589,0,0,1,4152,32,0,0,0.0,20
8,工况8.csv,4598,20,1660,0.018051326663766853,148,3,82,66,82,148,0.03218790778599391,4450,0.9678120922140061,0,0,1,4450,34,0,0,0.0,20
9,工况9.csv,5784,20,1380,0.011929460580912862,134,3,52,82,52,134,0.023167358229598894,5650,0.9768326417704011,0,0,1,5650,44,0,0,0.0,20
10,工况10.csv,6750,20,1150,0.008518518518518519,116,3,50,66,50,116,0.017185185185185185,6634,0.9828148148148148,0,0,1,6634,52,0,0,0.0,20
11,工况11.csv,4148,20,1510,0.018201542912246866,132,3,82,50,82,132,0.03182256509161042,4016,0.9681774349083896,0,0,1,4016,31,0,0,0.0,20
12,工况12.csv,5682,20,1790,0.015751495952129532,180,2,98,82,98,180,0.03167898627243928,5502,0.9683210137275607,0,0,1,5502,43,0,0,0.0,20
13,工况13.csv,8298,20,1360,0.008194745721860689,100,3,50,50,50,100,0.012051096649795132,8198,0.9879489033502049,0,0,1,8198,64,0,0,0.0,20
14,工况14.csv,4898,20,1660,0.01694569211923234,148,3,98,50,98,148,0.030216414863209473,4750,0.9697835851367905,0,0,1,4750,37,0,0,0.0,20
15,工况15.csv,5534,20,6830,0.06170943259848211,668,8,334,334,334,668,0.12070834839176003,4866,0.87929165160824,0,0,1,4866,37,0,0,0.0,20
16,工况16.csv,8434,20,7230,0.042862224330092485,686,8,352,334,352,686,0.08133744368034147,7748,0.9186625563196585,0,0,1,7748,60,0,0,0.0,20
17,工况17.csv,6850,20,6850,0.05,684,8,334,350,334,684,0.09985401459854015,6166,0.9001459854014598,0,0,1,6166,48,0,0,0.0,20
18,工况18.csv,6318,20,1660,0.013137068692624248,136,2,68,68,68,136,0.021525799303577082,6182,0.9784742006964229,0,0,1,6182,48,0,0,0.0,20
19,工况19.csv,7918,20,1660,0.010482445061884314,136,2,68,68,68,136,0.01717605455923213,7782,0.9828239454407679,0,0,1,7782,61,0,0,0.0,20
20,工况20.csv,6668,20,810,0.00607378524295141,86,2,68,68,18,86,0.01289742051589682,6582,0.9871025794841032,0,0,1,6582,51,0,0,0.0,9
